id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,76,"['Nelly', 'City Spud']",2000-06-27,291781,0.0607,0.85,0.7,1.66e-06,7.0,0.244,-6.49,1.0,0.0478,101.875,4.0,0.724
3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,78,"['Shaggy', 'Rik Rok']",2000-08-08,227600,0.0561,0.853,0.606,0.0,0.0,0.313,-4.596,1.0,0.072,94.753,4.0,0.653
3UmaczJpikHgJFyBTAJVoz,Stan,81,"['Eminem', 'Dido']",2000-05-23,404106,0.0371,0.78,0.768,2.34e-06,6.0,0.518,-4.325,0.0,0.238,80.063,4.0,0.507
7FDV5ELOJHCGLe52AnttEd,Angel,75,"['Shaggy', 'Rayvon']",2000-08-08,235133,0.116,0.74,0.766,0.0,6.0,0.0406,-2.939,1.0,0.178,170.531,4.0,0.807
7lgvU7WnwcNZ8dbGUz8yhP,Bitch Please II,73,"['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg']",2000-05-23,288200,0.0783,0.918,0.586,0.0,1.0,0.145,-2.89,1.0,0.133,95.517,4.0,0.779
4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),63,"['Ludacris', 'Shawnna']",2000-01-01,275906,0.16,0.915,0.79,0.0,6.0,0.112,-3.186,0.0,0.207,140.095,4.0,0.967
0OvwzS8FX73Bw7ykMRmffU,Put It On Me,64,"['Ja Rule', 'Vita']",2000-01-01,262826,0.0024,0.831,0.79,0.0,1.0,0.0515,-4.714,0.0,0.165,93.136,4.0,0.791
4NTn0Yo8hTGW5tbBANBzfh,You Can Do It,65,"['Ice Cube', 'Mack 10', 'Ms. Toi']",2000-02-29,259088,0.000931,0.947,0.853,0.0,1.0,0.0502,-4.489,0.0,0.164,99.887,4.0,0.887
0YwNdeDFbGP6AGwsQrtzdY,I Am A Man Of Constant Sorrow - Radio Edit,62,"['The Soggy Bottom Boys', 'Dan Tyminski']",2000-12-05,190000,0.666,0.564,0.328,0.0,5.0,0.0915,-13.096,1.0,0.0292,85.881,4.0,0.725
2EduiM2UNwjCC7PsLxnOCH,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),58,"['Three 6 Mafia', 'UGK', 'Project Pat']",2000-06-13,261972,0.00922,0.944,0.84,0.0,11.0,0.0921,-4.141,1.0,0.108,136.019,4.0,0.89
7CvOnbFdnIoXMQ4eFCo5lB,Around the World (La La La La La) - Radio Version,68,"['A Touch Of Class', 'Pete Konemann']",2000-11-06,214533,0.153,0.617,0.977,0.0016,9.0,0.133,-7.028,0.0,0.0276,131.965,4.0,0.679
0mXMr1OVZZKYmOinBaofOp,Slob On My Nob (feat. Project Pat),58,"['Tear Da Club Up Thugs', 'Three 6 Mafia', 'Project Pat']",2000-11-01,118933,0.00718,0.864,0.672,0.0,1.0,0.215,-5.168,0.0,0.261,84.823,4.0,0.562
5H3B1WtZYGmyOYOXgQltKU,Under The Influence,64,"['Eminem', 'D12']",2000-05-23,321666,0.0174,0.921,0.752,0.0,6.0,0.135,-4.32,1.0,0.27,96.985,4.0,0.705
2MSgFefjK0T7Iwjvr3OKqV,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",65,"['Frédéric Chopin', 'Mikhail Pletnev']",2000-01-01,259493,0.992,0.225,0.0047,0.881,1.0,0.0722,-30.928,0.0,0.0509,163.665,4.0,0.186
052z2UsE2wPrHsBJ9tly0g,Playground Love,65,"['Air', 'Gordon Tracks']",2000-02-25,211500,0.265,0.33,0.423,0.731,7.0,0.347,-10.504,0.0,0.0279,143.086,4.0,0.117
60uesDF4UyLUs61FgiDkdp,Hello,63,"['Ice Cube', 'Dr. Dre', 'MC Ren']",2000-02-29,232533,0.155,0.903,0.61,0.0,10.0,0.389,-6.176,0.0,0.339,91.46,4.0,0.627
1y2wM4Qxn27EOsQnhHYA3Q,My First Love,55,"['Avant', 'KeKe Wyatt']",2000-05-09,268515,0.0237,0.644,0.368,1.29e-06,11.0,0.157,-8.379,0.0,0.033,125.951,4.0,0.414
5hYr8yRbQLFE20oS7Mi3T2,(Rock) Superstar (feat. Chino Moreno & Everlast),60,"['Cypress Hill', 'Chino Moreno', 'Everlast']",2000-04-25,276866,0.0142,0.795,0.762,9.75e-06,2.0,0.064,-6.972,1.0,0.261,94.223,4.0,0.722
2n4F4KH34FujRuaNmFILv7,La Caspa Del Diablo,57,"['Los Originales De San Juan', 'El Chapo De Sinaloa']",2000-01-01,156160,0.358,0.77,0.773,0.0,7.0,0.0478,-5.743,1.0,0.223,112.401,4.0,0.827
1LnEW2Dx4pFZ4yZ4dXFY4f,Batter Up,55,"['Nelly', 'Murphy Lee', 'Ali']",2000-06-27,327933,0.127,0.84,0.591,0.0,8.0,0.251,-6.422,1.0,0.258,159.711,4.0,0.581
4rJtUMlnhJzlzlnxyoc3tb,I'll Fly Away,54,"['Gillian Welch', 'Alison Krauss']",2000-12-05,237866,0.984,0.688,0.26,0.0247,2.0,0.112,-13.686,1.0,0.0349,102.935,4.0,0.443
3j8EEMm9kbPLqByuaHmUmQ,Girls Dem Sugar,56,"['Beenie Man', 'Mýa']",2000-01-01,257893,0.118,0.603,0.782,0.0,2.0,0.363,-4.832,1.0,0.162,124.303,5.0,0.731
1jRzdY7oUBOhrylNtiMtBD,Shake Ya Ass (feat. Pharrell Williams),55,"['Mystikal', 'Pharrell Williams']",2000-09-26,256972,0.0626,0.914,0.608,0.0,7.0,0.0515,-5.658,1.0,0.32,98.049,4.0,0.667
4xwRtK6tfMp4yZwcDvY0gT,Between Me & You,54,"['Ja Rule', 'Christina Milian']",2000-01-01,250173,0.0201,0.818,0.883,0.000752,0.0,0.243,-4.547,1.0,0.0695,93.672,4.0,0.405
44go3ZmDNtKdfCc15IseAx,Shame,57,"['System Of A Down', 'Wu-Tang Clan']",2000-09-05,160666,0.00312,0.467,0.849,0.045,5.0,0.119,-4.646,1.0,0.171,120.229,4.0,0.764
5osSw3tL07Tuid7AWsvYcc,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",61,"['M.O.P.', 'Busta Rhymes', 'Teflon', 'Remi Martin']",2000-08-29,247693,0.0206,0.68,0.894,0.0,1.0,0.462,-4.86,1.0,0.255,94.089,4.0,0.803
0e42i89bY2NmPuVDtey8pg,Danger (Been So Long) (feat. Nivea),54,"['Mystikal', 'Nivea']",2000-09-26,211400,0.211,0.919,0.861,2.59e-05,7.0,0.0288,-5.435,1.0,0.218,97.969,4.0,0.718
06vaPTVwFkFxCzmJDXlfx5,A Little Book of Hours: VI. Singing Sun,55,"['Peter Sculthorpe', 'Elena Riu']",2000-01-01,103600,0.992,0.346,0.00398,0.878,10.0,0.0643,-44.526,1.0,0.0537,78.891,5.0,0.318
6gfDXAX85YWdVwxpbz0npv,Original Prankster,62,"['The Offspring', 'Redman']",2000-11-14,220946,0.000542,0.664,0.877,2.95e-05,2.0,0.284,-4.251,1.0,0.0334,146.804,4.0,0.961
0YHI5hydPPth6J5UOzdLDX,Lay Low,58,"['Snoop Dogg', 'Master P', 'Nate Dogg', 'Butch Cassidy', 'Tha Eastsidaz']",2000,223000,0.151,0.87,0.653,0.0,0.0,0.303,-4.353,1.0,0.326,94.84,4.0,0.755
