id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
3AJwUDP919kvQ9QcozQPxg,Yellow,89,['Coldplay'],2000-07-10,266773,0.00239,0.429,0.661,0.000121,11.0,0.234,-7.227,1.0,0.0281,173.372,4.0,0.285
60a0Rd6pjrkxjPbaKzXjfq,In the End,87,['Linkin Park'],2000,216880,0.00958,0.556,0.864,0.0,3.0,0.209,-5.87,0.0,0.0584,105.143,4.0,0.4
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,86,['Eminem'],2000-05-23,284200,0.0302,0.949,0.661,0.0,5.0,0.0454,-4.244,0.0,0.0572,104.504,4.0,0.76
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,83,['Outkast'],2000-10-31,270506,0.143,0.843,0.806,0.0,4.0,0.0771,-5.946,0.0,0.269,94.948,4.0,0.613
7D0RhFcb3CrfPuTJ0obrod,Sparks,84,['Coldplay'],2000-07-10,227093,0.748,0.371,0.268,0.0517,1.0,0.104,-10.506,1.0,0.0281,102.617,3.0,0.165
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,79,['3 Doors Down'],2000,233933,0.00664,0.545,0.865,1.1e-05,11.0,0.168,-5.708,0.0,0.0286,99.005,4.0,0.543
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,81,['Linkin Park'],2000,157333,0.0014,0.492,0.969,1.32e-06,9.0,0.0787,-4.419,1.0,0.0491,95.136,4.0,0.538
51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies),78,['Deftones'],2000-05-16,299533,0.000249,0.269,0.853,0.000246,7.0,0.118,-4.647,0.0,0.0854,141.581,4.0,0.179
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,79,['Linkin Park'],2000,184866,0.00022,0.524,0.939,0.0,9.0,0.623,-3.994,1.0,0.113,150.184,4.0,0.661
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),78,['Limp Bizkit'],2000-10-17,213760,0.00591,0.603,0.933,0.0,1.0,0.206,-3.358,1.0,0.171,96.311,4.0,0.709
